1,Bulbasaur,318,45,49,49,65,65,45,,,,,,
63,Abra,310,25,20,15,105,55,90,10,107,3100,16,176,4960
142,Aerodactyl,515,80,105,65,60,75,130,5,90,2575,100,1345,51500
190,Aipom,360,55,70,55,40,55,85,10,117,3600,10,135,3600
65,Alakazam,490,55,50,45,135,85,120,,,,,,
181,Ampharos,500,90,75,75,115,90,55,,,,,,
24,Arbok,438,60,85,69,65,79,80,10,131,4380,42,518,18396
59,Arcanine,555,90,110,80,100,80,95,,,,,,
168,Ariados,390,70,90,70,60,60,40,7,93,2730,15,191,5850
144,Articuno,580,90,85,100,95,125,85,,,,,,
184,Azumarill,410,100,50,80,50,80,50,,,,,,
153,Bayleef,405,60,62,80,63,80,60,,,,,,
15,Beedrill,385,65,80,40,45,80,75,10,122,3850,15,191,5775
182,Bellossom,480,75,80,85,90,100,50,,,,,,
69,Bellsprout,300,50,75,35,70,30,40,5,69,1500,22,226,6600
9,Blastoise,530,79,83,100,85,105,78,,,,,,
242,Blissey,540,255,10,10,75,135,55,,,,,,
12,Butterfree,385,60,45,50,80,80,70,7,94,2695,15,190,5775
10,Caterpie,195,45,30,35,20,20,45,3,47,585,18,153,3510
251,Celebi,600,100,100,100,100,100,100,30,425,18000,30,479,18000
113,Chansey,450,250,5,5,35,105,50,25,283,11250,25,329,11250
6,Charizard,534,78,84,78,109,85,100,,,,,,
4,Charmander,309,39,52,43,60,50,65,,,,,,
5,Charmeleon,405,58,64,58,80,65,80,,,,,,
152,Chikorita,318,45,49,65,49,65,45,5,68,1590,5,80,1590
170,Chinchou,330,75,38,38,56,56,67,20,185,6600,40,408,13200
36,Clefable,473,95,70,73,85,90,60,,,,,,
35,Clefairy,323,70,45,48,60,65,35,6,77,1938,12,145,3876
173,Cleffa,218,50,25,28,45,55,15,5,59,1090,5,70,1090
91,Cloyster,525,50,95,180,85,45,70,,,,,,
222,Corsola,380,55,55,85,65,85,35,20,207,7600,40,451,15200
169,Crobat,535,85,90,80,70,80,130,,,,,,
159,Croconaw,405,65,80,80,59,63,58,,,,,,
104,Cubone,320,50,50,95,40,50,35,10,109,3200,12,143,3840
155,Cyndaquil,309,39,52,43,60,50,65,5,69,1545,5,77,1545
225,Delibird,330,45,55,45,65,45,75,21,191,6930,26,277,8580
87,Dewgong,475,90,70,80,70,95,70,,,,,,
50,Diglett,265,10,55,25,35,45,95,2,45,530,32,292,8480
132,Ditto,288,48,48,48,48,48,48,10,99,2880,10,117,2880
85,Dodrio,460,60,110,70,60,60,100,30,341,13800,100,1235,46000
84,Doduo,310,35,85,45,35,35,75,4,60,1240,41,403,12710
232,Donphan,500,90,120,120,60,60,50,25,310,12500,25,352,12500
148,Dragonair,420,61,84,65,70,70,70,40,410,16800,40,482,16800
149,Dragonite,600,91,134,95,100,100,80,,,,,,
147,Dratini,300,41,64,45,50,50,50,10,104,3000,40,386,12000
96,Drowzee,328,60,48,45,43,90,42,12,123,3936,14,163,4592
51,Dugtrio,405,35,80,50,50,70,120,16,179,6480,32,381,12960
206,Dunsparce,415,100,70,70,65,65,45,4,70,1660,4,76,1660
133,Eevee,325,55,55,50,45,65,55,20,185,6500,20,221,6500
23,Ekans,288,35,60,44,40,54,55,4,59,1152,13,144,3744
125,Electabuzz,490,65,83,57,95,85,105,16,205,7840,18,259,8820
101,Electrode,480,60,50,70,80,80,140,23,276,11040,23,317,11040
239,Elekid,360,45,63,37,65,55,95,5,73,1800,5,84,1800
244,Entei,580,115,115,85,90,75,100,40,539,23200,40,611,23200
196,Espeon,525,65,65,60,130,95,110,,,,,,
102,Exeggcute,325,60,40,80,60,45,40,10,110,3250,10,128,3250
103,Exeggutor,520,95,95,85,125,65,55,,,,,,
83,Farfetch'd,352,52,65,55,58,62,60,16,160,5632,16,190,5632
22,Fearow,442,65,90,65,61,61,100,7,102,3094,32,405,14144
160,Feraligatr,530,85,105,100,79,83,78,,,,,,
180,Flaaffy,365,70,55,55,80,60,45,,,,,,
136,Flareon,525,65,130,60,95,110,65,,,,,,
